s1,s2,s3,s4,Dr/(CR),s5
101.0,1704.0,0.0,17054.0,-0.27,23993
101.0,1704.0,0.0,17055.0,-0.47,23993
101.0,1704.0,0.0,17060.0,0.36,23993
101.0,1704.0,103.0,17055.0,0.47,23993
101.0,1704.0,123.0,17054.0,0.27,23993
101.0,1705.0,0.0,10028.0,-0.07,23993
101.0,1705.0,0.0,10261.0,0.03,23993
101.0,1705.0,103.0,10028.0,0.07,23993
101.0,1705.0,145.0,10261.0,-0.03,23993
101.0,1706.0,0.0,17309.0,0.05,23993
101.0,1706.0,0.0,17312.0,0.07,23993
101.0,1706.0,107.0,17312.0,-0.07,23993
101.0,1706.0,127.0,17312.0,0.15054999999989105,23993
101.0,1707.0,0.0,17020.0,-0.29,23993
101.0,1707.0,0.0,17023.0,0.14,23993
101.0,1707.0,0.0,17180.0,0.18,23993
101.0,1707.0,0.0,17263.0,0.08,23993
101.0,1707.0,0.0,17264.0,0.32,23993
101.0,1707.0,0.0,17332.0,-0.04,23993
101.0,1707.0,0.0,17336.0,0.06,23993
101.0,1707.0,0.0,17460.0,-0.09,23993
101.0,1707.0,0.0,17469.0,-0.12,23993
101.0,1707.0,102.0,17336.0,-0.06,23993
101.0,1707.0,103.0,17020.0,0.29,23993
101.0,1707.0,103.0,17264.0,-0.32,23993
101.0,1707.0,120.0,17332.0,0.04,23993
101.0,1707.0,126.0,17263.0,-0.08,23993
101.0,1707.0,127.0,17336.0,2962.2046499999997,23993
101.0,1707.0,139.0,17180.0,-0.18,23993
101.0,1707.0,141.0,17460.0,0.09,23993
101.0,1707.0,145.0,17180.0,30.3468,23993
101.0,1707.0,147.0,17263.0,0.018083999999987554,23993
101.0,1707.0,167.0,17469.0,0.12,23993
101.0,1707.0,195.0,17805.0,0.008829999990211945,23993
101.0,1710.0,0.0,17039.0,0.32,23993
101.0,1711.0,0.0,17069.0,-0.35,23993
101.0,1711.0,0.0,17071.0,0.43,23993
101.0,1711.0,0.0,17074.0,0.18,23993
101.0,1711.0,0.0,17254.0,0.46,23993
101.0,1711.0,0.0,17265.0,-0.42,23993
101.0,1711.0,0.0,17290.0,0.12,23993
101.0,1711.0,0.0,17317.0,0.17,23993
101.0,1711.0,0.0,17567.0,0.04,23993
101.0,1711.0,0.0,17677.0,-0.05,23993
101.0,1711.0,101.0,17677.0,0.05,23993
101.0,1711.0,102.0,17317.0,-0.17,23993
101.0,1711.0,103.0,17071.0,-0.43,23993
101.0,1711.0,103.0,17265.0,0.42,23993
101.0,1711.0,110.0,17567.0,-0.04,23993
101.0,1711.0,126.0,17254.0,-0.46,23993
101.0,1711.0,127.0,17317.0,7262.971999999994,23993
101.0,1711.0,128.0,17069.0,0.35,23993
101.0,1711.0,145.0,17290.0,-0.12,23993
101.0,1711.0,147.0,17254.0,-0.009249999999951797,23993
101.0,1711.0,170.0,17757.0,131825.3,23993
101.0,1711.0,195.0,17567.0,0.0006139999895822257,23993
101.0,1712.0,0.0,17088.0,0.23,23993
101.0,1712.0,0.0,17102.0,0.1,23993
101.0,1712.0,0.0,17114.0,-0.35,23993
101.0,1712.0,0.0,17250.0,-0.16,23993
101.0,1712.0,0.0,17259.0,0.46,23993
101.0,1712.0,0.0,17268.0,-0.18,23993
101.0,1712.0,0.0,17361.0,0.46,23993
101.0,1712.0,0.0,17362.0,-0.22,23993
101.0,1712.0,0.0,17512.0,0.13,23993
101.0,1712.0,0.0,17514.0,-0.1,23993
101.0,1712.0,0.0,17549.0,-0.49,23993
101.0,1712.0,0.0,17721.0,-0.3,23993
101.0,1712.0,0.0,19908.0,-0.47,23993
101.0,1712.0,102.0,17268.0,0.18,23993
101.0,1712.0,103.0,17088.0,-0.23,23993
101.0,1712.0,103.0,17102.0,-0.1,23993
101.0,1712.0,103.0,17512.0,-0.13,23993
101.0,1712.0,113.0,17250.0,0.16,23993
101.0,1712.0,116.0,13859.0,-232.2099,23993
101.0,1712.0,116.0,17514.0,0.1,23993
101.0,1712.0,125.0,17362.0,0.22,23993
101.0,1712.0,127.0,17268.0,7027.732449998992,23993
101.0,1712.0,133.0,17549.0,0.49,23993
101.0,1712.0,139.0,17259.0,-0.46,23993
101.0,1712.0,143.0,17721.0,0.3,23993
101.0,1712.0,145.0,13859.0,-913.92955,23993
101.0,1712.0,147.0,17114.0,0.0036079999999998336,23993
101.0,1712.0,167.0,17361.0,-0.46,23993
101.0,1712.0,170.0,17534.0,183598.94,23993
101.0,1712.0,195.0,17549.0,0.006437999991248944,23993
101.0,1712.0,296.0,17720.0,0.0004000000189989805,23993
101.0,1712.0,321.0,13859.0,25522.13,23993
101.0,1713.0,0.0,17181.0,-0.23,23993
101.0,1713.0,0.0,17318.0,0.47,23993
101.0,1713.0,103.0,17318.0,-0.47,23993
101.0,1713.0,147.0,17181.0,0.23,23993
101.0,1715.0,0.0,17152.0,0.29,23993
