s1,s2,s3,s4,Dr/(CR),s5
101.0,1756.0,195.0,17731.0,-4696.858056,23993
101.0,1757.0,127.0,17773.0,-173387.9348,23993
101.0,1759.0,195.0,17801.0,-57.702329999999996,23993
101.0,9901.0,116.0,13613.0,1449.9773500000001,23993
101.0,9901.0,116.0,13713.0,-179666.2232,23993
101.0,9901.0,116.0,13794.0,-29774.1511,23993
101.0,9901.0,116.0,13862.0,-1007418.0952,23993
101.0,9901.0,117.0,13614.0,424.56015,23993
101.0,9901.0,117.0,13714.0,-260973.892,23993
101.0,9901.0,117.0,13862.0,-324498.57185,23993
101.0,9901.0,127.0,13693.0,-9022.9362,23993
101.0,9901.0,127.0,13751.0,-559.8935999999992,23993
101.0,9901.0,127.0,13862.0,-114744.25945,23993
101.0,9901.0,145.0,13645.0,2949.88705,23993
101.0,9901.0,145.0,13745.0,-6731.4331999999995,23993
101.0,9901.0,145.0,13794.0,-9329.054199999999,23993
101.0,9901.0,145.0,13862.0,-591788.9125,23993
101.0,9901.0,147.0,13862.0,-23850.79035,23993
101.0,9901.0,147.0,99147.0,0.16026,23993
101.0,9901.0,162.0,13730.0,-2676.556,23993
101.0,9901.0,169.0,13862.0,-12.26,23993
101.0,9901.0,195.0,13622.0,-0.107295,23993
101.0,9901.0,195.0,13722.0,-152461.522,23993
101.0,9901.0,298.0,13638.0,-403097.019855,23993
101.0,9901.0,298.0,13738.0,-25506.510000000002,23993
101.0,9901.0,300.0,13616.0,-3651.2984850000003,23993
101.0,9901.0,300.0,13716.0,-17745.6325,23993
101.0,9901.0,302.0,13603.0,-0.38024999999999975,23993
101.0,9901.0,302.0,13704.0,-23730.112,23993
101.0,9901.0,302.0,13862.0,-11141.7347,23993
101.0,9901.0,321.0,13862.0,-1320.695,23993
102.0,1002.0,105.0,10047.0,-12434.200204,23993
102.0,1002.0,130.0,10239.0,-37504.205546,23993
102.0,1002.0,150.0,10642.0,-20501.3291966,23993
102.0,1002.0,151.0,10051.0,-9497.080812,23993
102.0,1004.0,105.0,10050.0,-7092.307352000001,23993
102.0,1004.0,150.0,10044.0,-10775.2598856,23993
